authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
http://e-editiones.ch/project/data/delille#person-beleze,http://e-editiones.ch/project/data/delille#work-belezeexercices,1846,Belèze,Louis-Guillaume-Gustave,,,
http://e-editiones.ch/project/data/delille#person-beliard,http://e-editiones.ch/project/data/delille#work-beliardjournaldesvilles,1851,Béliard,J.,,,
http://e-editiones.ch/project/data/delille#person-bellaire,http://e-editiones.ch/project/data/delille#work-bellaireauxauteurs,1801,Bellaire,P. J.,,,
http://e-editiones.ch/project/data/delille#person-benoit,http://e-editiones.ch/project/data/delille#work-benoitcuriosites,1846,Benoît,Eulalie,,,
http://e-editiones.ch/project/data/delille#person-berlepsch,http://e-editiones.ch/project/data/delille#work-berlepschalpes,1868,Berlepsch,Hermann Alexander von,,,
http://e-editiones.ch/project/data/delille#person-berthelotsabin,http://e-editiones.ch/project/data/delille#work-berthelotwebbhistoire,1839,Berthelot,Sabin,,,
http://e-editiones.ch/project/data/delille#person-bertin,http://e-editiones.ch/project/data/delille#work-bertinelemens,1801,Bertin,Antoine,,,
http://e-editiones.ch/project/data/delille#person-bertolotti,http://e-editiones.ch/project/data/delille#work-bertolottiviaggio,1828,Bertolotti,Davide,,,
http://e-editiones.ch/project/data/delille#person-bertrand,http://e-editiones.ch/project/data/delille#work-bertrandfin,1897,Bertrand,Louis,,,
http://e-editiones.ch/project/data/delille#person-bescher,http://e-editiones.ch/project/data/delille#work-beschertheorie,1821,Bescher,René-François,,,
http://e-editiones.ch/project/data/delille#person-bescherelle2,http://e-editiones.ch/project/data/delille#work-bescherellecours,1852,Bescherelle,Henri-Honoré,,,
http://e-editiones.ch/project/data/delille#person-bescherelle2,http://e-editiones.ch/project/data/delille#work-bescherelleart,1865,Bescherelle,Henri-Honoré,,,
http://e-editiones.ch/project/data/delille#person-bilderdijk,http://e-editiones.ch/project/data/delille#work-bilderdijkgeologie,1813,Bilderdijk,Willem,,,
